Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB	Device	Supported Platforms
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	1	0	12/16/2015	12/16/2015	MXN	MX	MXN	1002324417	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	12/16/2015	12/16/2015	USD	US	USD	512427818	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	98	0	12/16/2015	12/16/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	DH160514	D Hearts Vietnam	3D Puzzle Cubes	1.2	1F	1	0	12/16/2015	12/16/2015	USD	US	USD	879400899	0	 	 	 	 	Games		iPad	iOS
APPLE	US	DheartsPicLogic	D Hearts Vietnam	PicLogic	1.2	1F	1	0	12/16/2015	12/16/2015	JPY	JP	JPY	945922747	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	11	0	12/16/2015	12/16/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	DheartFantasyRush	D Hearts Vietnam	Fantasy Rush	1.2	1F	1	0	12/16/2015	12/16/2015	JPY	JP	JPY	906228556	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	7F	1	0	12/16/2015	12/16/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	1	0	12/16/2015	12/16/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	DH121213	D Hearts Vietnam	忍者レジェンド - 手裏剣を投げまくれ！	1.0.11	1F	1	0	12/16/2015	12/16/2015	JPY	JP	JPY	780308939	0	 	 	 	 	Games		iPad	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	7F	10	0	12/16/2015	12/16/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	14	0	12/16/2015	12/16/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	17	0	12/16/2015	12/16/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	LabyrinthBattle 	D Hearts Vietnam 	Labyrinth of Battle 		3F	2	0	12/16/2015	12/16/2015	CNY	CN	CNY	959778297	0	 	 	 	 	Games		Desktop	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	4	0	12/16/2015	12/16/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	310512 	D Hearts Vietnam 	StarMine V1.0 	1.0	3	1	0	12/16/2015	12/16/2015	USD	NG	USD	532110894	0	 	 	 	 	Games		Desktop	iOS
APPLE	US	LabyrinthBattle 	D Hearts Vietnam 	Labyrinth of Battle 		3F	1	0	12/16/2015	12/16/2015	GBP	GB	GBP	959778297	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	1	0	12/16/2015	12/16/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	DH121213 	D Hearts Vietnam 	忍者レジェンド - 手裏剣を投げまくれ！ 	1.0.11	3F	1	0	12/16/2015	12/16/2015	CNY	CN	CNY	780308939	0	 	 	 	 	Games		Desktop	iOS
APPLE	US	LabyrinthBattle 	D Hearts Vietnam 	Labyrinth of Battle 		3F	1	0	12/16/2015	12/16/2015	USD	PH	USD	959778297	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	LabyrinthBattle 	D Hearts Vietnam 	Labyrinth of Battle 		7F	1	0	12/16/2015	12/16/2015	CNY	CN	CNY	959778297	0	 	 	 	 	Games		iPad	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	7F	1	0	12/16/2015	12/16/2015	USD	CO	USD	1002324417	0	 	 	 	 	Games		Desktop	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	7	0	12/16/2015	12/16/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	1	0	12/16/2015	12/16/2015	USD	MY	USD	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	LabyrinthBattle	D Hearts Vietnam	Labyrinth of Battle		1F	1	0	12/16/2015	12/16/2015	CNY	CN	CNY	959778297	0	 	 	 	 	Games		iPad	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	3	0	12/16/2015	12/16/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	DH160514	D Hearts Vietnam	3D Puzzle Cubes	1.2	1F	1	0	12/16/2015	12/16/2015	EUR	DE	EUR	879400899	0	 	 	 	 	Games		iPhone	iOS
